Author,Story Title,Story Link,Image Link,Publication
Sam Gibson,LaMar Morgan never stopped teaching,https://www.michigandaily.com/sports/football/lamar-morgan-never-stopped-teaching/,https://www.michigandaily.com/wp-content/uploads/2025/11/aru.FBC_.vsNorthwestern.LaMarMorgan.jpg,The Michigan Daily
Alina Levine,A coach who carries: Biff Poggi’s journey beyond the game,https://www.michigandaily.com/sports/football/a-coach-who-carries-biff-poggis-journey-beyond-the-game/,https://www.michigandaily.com/wp-content/uploads/2025/11/aru.FBC_.vsCMU_.09.13.25.439.jpg,The Michigan Daily
Jonathan Wuchter,The architecture of Jordan Marshall’s platform,https://www.michigandaily.com/sports/football/the-architecture-of-jordan-marshalls-platform/,https://www.michigandaily.com/wp-content/uploads/2025/11/AnanyaSportsMonday099-1.jpg,The Michigan Daily
Zach Edwards,Zeke Berry combines versatility and raw talent with patience to keep pushing forward,https://www.michigandaily.com/sports/football/zeke-berry-combines-versatility-and-raw-talent-with-patience-to-keep-pushing-forward/,https://www.michigandaily.com/wp-content/uploads/2025/11/cal.FBC_.vsNorthwestern.11.15.25003.jpg,The Michigan Daily
Alina Levine,The turnover buffs: How Michigan blends Detroit style and defensive identity,https://www.michigandaily.com/sports/football/the-turnover-buffs-how-michigan-blends-detroit-style-and-defensive-identity/,https://www.michigandaily.com/wp-content/uploads/2025/11/akf.FBC_.vsWashington.1.8.24.1186-2.jpg,The Michigan Daily
Zach Edwards,Two converging paths: Devin Gardner and Jake Butt from Michigan to media,https://www.michigandaily.com/sports/football/two-converging-paths-devin-gardner-and-jake-butt-from-michigan-to-media/,https://www.michigandaily.com/wp-content/uploads/2025/11/asg.fbc_.vsOSU_.11.30.130230.jpg,The Michigan Daily
Sam Gibson,Sam Gibson: Sherrone Moore’s job is safe no matter what happens against Ohio State. It’s still the most important game of his career,https://www.michigandaily.com/sports/football/sam-gibson-sherrone-moores-job-is-safe-no-matter-what-happens-against-ohio-state-its-still-the-most-important-game-of-his-career/,https://www.michigandaily.com/wp-content/uploads/2025/11/arg.FBC_.vsPurdue.11.1.25.6149.jpg,The Michigan Daily
Jonathan Wuchter,Davis Warren and how The Game redefines legacies,https://www.michigandaily.com/sports/football/davis-warren-and-how-the-game-redefines-legacies/,https://www.michigandaily.com/wp-content/uploads/2025/11/online.gel_.FBC_.vsOSU_.11.30.24.268.jpg,The Michigan Daily
,,,,
Liv Rinaldi,The merch Michigan fans hate,https://www.thelantern.com/2025/11/the-merch-michigan-fans-hate/,https://www.thelantern.com/files/2025/11/6G6A9596.jpg,The Lantern
Jack Diwik,Ohio State–Michigan’s unofficial historian: Tim May reflects on more than four decades of covering The Game,https://www.thelantern.com/2025/11/ohio-state-michigans-unofficial-historian-tim-may-reflects-on-over-four-decades-of-covering-the-game/,https://www.thelantern.com/files/2025/11/G6A9507-1.jpg,The Lantern
Jack Diwik,Column: Ryan Day’s Michigan narrative ignores three complicated years,https://www.thelantern.com/2025/11/column-ryan-days-michigan-narrative-ignores-three-complicated-years/,https://www.thelantern.com/files/2024/12/6G6A1134.jpg,The Lantern
Sandra Fu,From “That State Up North” to The 'Shoe: How the rivalry found me,https://www.thelantern.com/2025/11/from-that-state-up-north-to-the-shoe-how-the-rivalry-found-me/,https://www.thelantern.com/files/2025/11/IMAG2883.jpg,The Lantern
Reilly Cahill,Why Ohio State students are hardwired to hate Michigan,https://www.thelantern.com/2025/11/why-ohio-state-students-are-hardwired-to-hate-michigan/,https://www.thelantern.com/files/2024/11/6G6A1186.jpg,The Lantern
Jack Macey,Best Columbus bars for “The Game”,Best Columbus bars for “The Game”,https://www.thelantern.com/files/2025/11/G6A9666.jpg,The Lantern
